timestamp,windspeed_north,windspeed_east,covariance_north,covariance_east
516611007,0.0,0.0,0.0,0.0
516714582,0.0,0.0,0.0,0.0
516814108,0.0,0.0,0.0,0.0
516914100,0.0,0.0,0.0,0.0
517016409,0.0,0.0,0.0,0.0
517120083,0.0,0.0,0.0,0.0
517220247,0.0,0.0,0.0,0.0
517323790,0.0,0.0,0.0,0.0
517423773,0.0,0.0,0.0,0.0
517524838,0.0,0.0,0.0,0.0
517625510,0.0,0.0,0.0,0.0
517729430,0.0,0.0,0.0,0.0
517829307,0.0,0.0,0.0,0.0
517929759,0.0,0.0,0.0,0.0
518034011,0.0,0.0,0.0,0.0
518133975,0.0,0.0,0.0,0.0
518234522,0.0,0.0,0.0,0.0
518338256,0.0,0.0,0.0,0.0
518439127,0.0,0.0,0.0,0.0
518538845,0.0,0.0,0.0,0.0
518642215,0.0,0.0,0.0,0.0
518742319,0.0,0.0,0.0,0.0
518846072,0.0,0.0,0.0,0.0
518946893,0.0,0.0,0.0,0.0
519047905,0.0,0.0,0.0,0.0
519148335,0.0,0.0,0.0,0.0
519251858,0.0,0.0,0.0,0.0
519351831,0.0,0.0,0.0,0.0
519451888,0.0,0.0,0.0,0.0
519553480,0.0,0.0,0.0,0.0
519657454,0.0,0.0,0.0,0.0
519757978,0.0,0.0,0.0,0.0
519861438,0.0,0.0,0.0,0.0
519962412,0.0,0.0,0.0,0.0
520061361,0.0,0.0,0.0,0.0
520163264,0.0,0.0,0.0,0.0
520267096,0.0,0.0,0.0,0.0
520367026,0.0,0.0,0.0,0.0
520466884,0.0,0.0,0.0,0.0
520570914,0.0,0.0,0.0,0.0
520670902,0.0,0.0,0.0,0.0
520772746,0.0,0.0,0.0,0.0
520872767,0.0,0.0,0.0,0.0
520976514,0.0,0.0,0.0,0.0
521077911,0.0,0.0,0.0,0.0
521180471,0.0,0.0,0.0,0.0
521282707,0.0,0.0,0.0,0.0
521382205,0.0,0.0,0.0,0.0
521483855,0.0,0.0,0.0,0.0
521586090,0.0,0.0,0.0,0.0
521686095,0.0,0.0,0.0,0.0
