timestamp,roll,pitch,yaw,thrust
789576730,0.126109,0.00326162,0.131637,0.0
789588772,0.122135,0.00356054,0.132566,0.0
789597221,0.11878,0.00317862,0.133346,0.0
789608662,0.114169,0.00278511,0.134552,0.0
789617332,0.108713,0.00246791,0.135532,0.0
789628712,0.100791,0.00189197,0.137634,0.0
789640866,0.10133,0.00194813,0.140065,0.0
789648997,0.0950943,0.00202695,0.141627,0.0
789656697,0.0879532,0.00218715,0.143102,0.0
789672965,0.0788485,0.00309635,0.145043,0.0
789685104,0.0745378,0.00443232,0.145885,0.0
789697121,0.0670418,0.00599524,0.146609,0.0
789704904,0.0641821,0.00726536,0.147106,0.0
789716885,0.0742883,0.00992133,0.148037,0.0
789724756,0.0697505,0.0115066,0.148934,0.0
789740719,0.0566688,0.0142143,0.151281,0.0
789748706,0.0512844,0.0155102,0.152503,0.0
789760917,0.043229,0.0174153,0.154289,0.0
789773016,0.0370927,0.0186674,0.155907,0.0
789784701,0.0325846,0.0204805,0.156835,0.0
789793187,0.0281163,0.0212729,0.157268,0.0
789801113,0.027394,0.02186,0.157332,0.0
789816931,0.0427291,0.0225009,0.157445,0.0
789829274,0.0437372,0.0228189,0.15723,0.0
789840715,0.0454107,0.0225572,0.157166,0.0
789850899,0.0454818,0.0223533,0.157191,0.0
789860756,0.0406536,0.0223885,0.157592,0.0
789871056,0.0394066,0.0218425,0.158192,0.0
789880672,0.0368051,0.0205622,0.15913,0.0
789891891,0.0350923,0.0196791,0.159774,0.0
789904842,0.0410975,0.0181028,0.162179,0.0
789917233,0.0282858,0.0169919,0.164924,0.0
789924744,0.0214021,0.0168718,0.167034,0.0
789936775,0.00668864,0.0170439,0.170748,0.0
789948661,-0.00794043,0.0174373,0.174923,0.0
789957116,-0.0206218,0.0178138,0.178187,0.0
789968912,-0.0390036,0.0180357,0.181369,0.0
789980670,-0.0493731,0.0186623,0.184414,0.0
789988630,-0.0628544,0.0184732,0.184961,0.0
790000645,-0.0856329,0.0170936,0.185209,0.0
790008847,-0.0997281,0.0168394,0.185779,0.0
790016665,-0.117469,0.0154511,0.18534,0.0
790033254,-0.151828,0.0127452,0.184979,0.0
790043373,-0.164288,0.0116101,0.185552,0.0
790053130,-0.171242,0.00956462,0.189562,0.0
790064827,-0.182681,0.00719159,0.19081,0.0
790073608,-0.191904,0.00437042,0.190546,0.0
790084898,-0.193006,0.00253754,0.191384,0.0
790093832,-0.197037,-0.000180675,0.19026,0.0
790100645,-0.191257,-0.00159105,0.190752,0.0
790118323,-0.170622,-0.0071606,0.191373,0.0
790130288,-0.146045,-0.00942778,0.191554,0.0
790139073,-0.112996,-0.0107713,0.195583,0.0
790150260,-0.0792203,-0.0139483,0.195605,0.0
790162474,-0.0415146,-0.0172129,0.195259,0.0
790170548,-0.0123289,-0.0207714,0.189285,0.0
790178328,0.0208055,-0.0254812,0.181412,0.0
790194323,0.0838759,-0.0334296,0.165498,0.0
790208347,0.128752,-0.0383791,0.1535,0.0
790218256,0.179567,-0.0441786,0.141852,0.0
790227219,0.210173,-0.0475976,0.133642,0.0
790238296,0.275594,-0.052905,0.121313,0.0
790246780,0.306851,-0.0550863,0.11298,0.0
790262455,0.377363,-0.0565194,0.095325,0.0
790274332,0.429926,-0.0570196,0.0816165,0.0
790282802,0.465579,-0.0580637,0.0719998,0.0
790294749,0.525641,-0.0591209,0.057328,0.0
790306413,0.579966,-0.0602861,0.0429735,0.0
790318978,0.654196,-0.0583702,0.0288708,0.0
790330245,0.704986,-0.0541681,0.0155011,0.0
790340790,0.74333,-0.049714,0.00684361,0.0
790350262,0.789968,-0.0422906,-0.00510447,0.0
790358317,0.824895,-0.0355773,-0.011766,0.0
790374308,0.872114,-0.0220341,-0.020676,0.0
790382455,0.881357,-0.015644,-0.0227919,0.0
790398257,0.887822,-0.00398563,-0.0224778,0.0
790410636,0.871171,0.00255364,-0.0182888,0.0
790418342,0.874929,0.00697194,-0.0138817,0.0
790430830,0.839357,0.0124143,-0.00532293,0.0
790442524,0.807012,0.0179787,0.00441076,0.0
790450980,0.777502,0.0215121,0.0113339,0.0
790462409,0.737081,0.0261684,0.0215754,0.0
790474326,0.698448,0.0312811,0.0317656,0.0
790482810,0.668186,0.0338638,0.0387406,0.0
790495320,0.640413,0.0374562,0.0493956,0.0
790502494,0.608371,0.0396594,0.0567762,0.0
790516336,0.559092,0.0422267,0.0684349,0.0
790526263,0.507875,0.0458429,0.0802265,0.0
790534457,0.478518,0.0478729,0.0879731,0.0
790546323,0.431191,0.0511463,0.0989606,0.0
790554826,0.404601,0.0538842,0.105621,0.0
790570295,0.352393,0.0598298,0.117518,0.0
790582477,0.332432,0.0644606,0.124892,0.0
790590510,0.312297,0.0683025,0.129121,0.0
790598997,0.298362,0.0724876,0.133092,0.0
790614262,0.268316,0.0804731,0.140238,0.0
790626238,0.243166,0.0854638,0.145466,0.0
790638239,0.224135,0.090777,0.15024,0.0
790647227,0.209061,0.093321,0.153417,0.0
790658406,0.200447,0.0968958,0.157591,0.0
790666385,0.189434,0.0988282,0.159887,0.0
790682398,0.177062,0.102053,0.162833,0.0
790694395,0.175811,0.103206,0.163893,0.0
790702540,0.173297,0.103439,0.164466,0.0
790710655,0.16964,0.103218,0.165152,0.0
790726287,0.151572,0.100945,0.169086,0.0
790734700,0.134869,0.0987923,0.171988,0.0
790743320,0.121384,0.0946428,0.176528,0.0
790756544,0.111357,0.0895232,0.181509,0.0
790767932,0.0953598,0.0844172,0.187088,0.0
790776671,0.0844405,0.0831264,0.189674,0.0
790787900,0.0703281,0.0807949,0.193772,0.0
790795885,0.0589986,0.0806125,0.19612,0.0
790811966,0.0455976,0.0789248,0.199723,0.0
790823950,0.0396467,0.0789556,0.201377,0.0
790832236,0.0357706,0.0778288,0.202602,0.0
790839928,0.0461701,0.0777368,0.203301,0.0
790855912,0.0387756,0.0753123,0.204412,0.0
790864056,0.0378438,0.073265,0.205266,0.0
790883892,0.0336805,0.0682626,0.207358,0.0
790896412,0.030672,0.0666712,0.208091,0.0
790907918,0.0292754,0.0634276,0.209222,0.0
790916732,0.0241746,0.0629782,0.209439,0.0
790927898,0.0229237,0.060629,0.210232,0.0
790938378,0.0340793,0.0605263,0.210263,0.0
790951959,0.0306292,0.0595151,0.211195,0.0
790963920,0.0274318,0.0602023,0.211471,0.0
790972216,0.0247348,0.0600845,0.211864,0.0
790979912,0.021995,0.0612494,0.211868,0.0
790995892,0.013603,0.0633389,0.212116,0.0
791008298,0.0115536,0.0641619,0.212011,0.0
791019950,0.0244762,0.0662307,0.211025,0.0
791028620,0.0247636,0.0666496,0.210819,0.0
791039882,0.0259617,0.0677872,0.209667,0.0
791047865,0.0273038,0.068019,0.208824,0.0
791063987,0.0307091,0.0697205,0.206829,0.0
791076421,0.028687,0.0706453,0.205164,0.0
791084111,0.0316544,0.0706992,0.20401,0.0
791103910,0.0404437,0.0714037,0.20088,0.0
791112373,0.0442335,0.0710908,0.199671,0.0
791123898,0.059818,0.0725939,0.197586,0.0
791132149,0.0621317,0.0723842,0.197037,0.0
791143879,0.058783,0.0739881,0.195402,0.0
791155906,0.0589701,0.0751383,0.194269,0.0
791164618,0.0600049,0.0754755,0.193629,0.0
791176500,0.0582103,0.0776144,0.192375,0.0
791183998,0.058611,0.0778567,0.191932,0.0
791199924,0.0565455,0.0801844,0.190947,0.0
791207912,0.0562552,0.0806842,0.190643,0.0
791224209,0.0610339,0.0835076,0.189659,0.0
791231943,0.0613295,0.0842111,0.18916,0.0
791247914,0.0606561,0.0867515,0.187683,0.0
791260320,0.06046,0.0882535,0.186581,0.0
791271978,0.0619399,0.0890682,0.185804,0.0
791280665,0.0606018,0.0904744,0.185103,0.0
791292147,0.0621564,0.0907379,0.184475,0.0
791299848,0.0560807,0.0920422,0.183582,0.0
791315975,0.0557152,0.0932472,0.182557,0.0
791327856,0.0560096,0.0929668,0.182391,0.0
791336073,0.0663525,0.0943101,0.181746,0.0
791348251,0.0666634,0.0937092,0.181695,0.0
791359855,0.0660668,0.0946931,0.181015,0.0
791370074,0.0671293,0.0941615,0.18078,0.0
791376710,0.0613091,0.0945385,0.180236,0.0
791385546,0.0634842,0.0934035,0.179909,0.0
791401459,0.0643393,0.0927973,0.178869,0.0
791409797,0.0657282,0.0919128,0.17878,0.0
791421549,0.0642836,0.0924467,0.178295,0.0
791429493,0.0642252,0.0918797,0.178417,0.0
791445499,0.0604757,0.0920084,0.178649,0.0
791453589,0.0593646,0.0916136,0.179028,0.0
791469474,0.0597425,0.0922934,0.17949,0.0
791482349,0.0551379,0.0935465,0.179819,0.0
