timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
633936188,-0.745509,0.193903,-0.585407,0.0,0.8977,-0.321042,0.190906,-0.233712,0.945052,0.0,1,0,0,0,0,0,0
633956213,-0.745141,0.19357,-0.585407,0.0,0.897756,-0.320927,0.190717,-0.233809,0.945314,0.0,1,0,0,0,0,0,0
633976223,-0.744662,0.193177,-0.589089,0.0,0.897397,-0.32042,0.191079,-0.23558,0.945494,0.0,1,0,0,0,0,0,0
633996252,-0.744207,0.192796,-0.589089,0.0,0.897466,-0.320274,0.190858,-0.235695,0.9457,0.0,1,0,0,0,0,0,0
634016251,-0.743351,0.192355,-0.592771,0.0,0.897164,-0.319605,0.191152,-0.23751,0.945451,0.0,1,0,0,0,0,0,0
634036269,-0.742519,0.191931,-0.595257,0.0,0.896996,-0.319059,0.191264,-0.238784,0.944399,0.0,1,0,0,0,0,0,0
634056282,-0.741662,0.191476,-0.595257,0.0,0.897128,-0.318743,0.190963,-0.23895,0.942992,0.0,1,0,0,0,0,0,0
634076335,-0.74097,0.191015,-0.598934,0.0,0.896792,-0.318153,0.191263,-0.240751,0.941346,0.0,1,0,0,0,0,0,0
634096354,-0.74034,0.190567,-0.598934,0.0,0.896888,-0.317939,0.190991,-0.240894,0.939729,0.0,1,0,0,0,0,0,0
634116355,-0.73975,0.190121,-0.602611,0.0,0.896532,-0.317391,0.191308,-0.242682,0.938232,0.0,1,0,0,0,0,0,0
634136483,-0.739179,0.189677,-0.605078,0.0,0.896317,-0.316968,0.191435,-0.243924,0.93693,0.0,1,0,0,0,0,0,0
634156386,-0.738294,0.18918,-0.606289,0.0,0.896304,-0.316532,0.191301,-0.244643,0.935695,0.0,1,0,0,0,0,0,0
