timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,max_differential_pressure_pa,temperature
485308813,0,168.673,165.816,1406.31,20.214
485360798,0,165.936,165.995,1406.31,20.2197
485409178,0,178.504,166.122,1406.31,20.3912
485468759,0,167.374,166.24,1406.31,20.3255
485518570,0,161.837,165.917,1406.31,20.2068
485562652,0,161.494,165.412,1406.31,20.2883
485622737,0,164.036,164.913,1406.31,20.2368
485671516,0,182.708,164.778,1406.31,20.4055
485730309,0,172.834,165.166,1406.31,20.3569
485778751,0,154.139,165.367,1406.31,20.2597
485826360,0,164.417,165.029,1406.31,20.3569
485875176,0,157.409,164.542,1406.31,20.2326
485936529,0,158.785,163.661,1406.31,20.2083
485986120,0,162.975,163.16,1406.31,20.1677
486033965,0,164.679,162.832,1406.31,20.1048
486096001,0,157.514,162.498,1406.31,20.234
486143924,0,164.008,162.059,1406.31,20.3226
486192372,0,156.886,161.68,1406.31,20.2254
486252442,0,161.104,161.261,1406.31,20.1968
486300635,0,155.629,161.122,1406.31,20.2083
486355779,0,153.106,160.91,1406.31,20.2025
486403597,0,152.23,160.597,1406.31,20.3054
486463503,0,154.101,160.083,1406.31,20.2763
486514125,0,149.321,159.597,1406.31,20.0963
486563940,0,157.79,158.918,1406.31,20.2549
486620283,0,149.53,158.007,1406.31,20.0991
486671573,0,163.356,157.206,1406.31,20.2878
486721531,0,149.949,156.565,1406.31,20.1048
486769811,0,154.124,155.959,1406.31,20.2049
486817712,0,152.268,155.481,1406.31,20.0934
486879058,0,148.469,155.064,1406.31,20.1277
486925560,0,162.741,154.768,1406.31,20.2363
486973398,0,148.05,154.734,1406.31,20.122
487033453,0,150.997,154.813,1406.31,20.1191
487081762,0,163.16,155.196,1406.31,20.242
487138206,0,151.206,155.975,1406.31,20.122
487183536,0,153.301,156.497,1406.31,20.1506
487247164,0,163.065,156.729,1406.31,20.212
487295318,0,154.781,156.782,1406.31,20.1277
487343900,0,156.024,156.798,1406.31,20.1877
487403803,0,154.324,156.623,1406.31,20.2363
487452239,0,163.213,156.42,1406.31,19.9871
487499083,0,154.791,156.647,1406.31,20.0014
487559100,0,163.408,157.405,1406.31,20.1306
