timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
329557026,0.155759,-0.217591,-0.00194335,0.919991,0.0301038,-0.00222077,-0.390775
329569408,0.152564,-0.195599,-0.0129885,0.91993,0.0304849,-0.00370286,-0.390879
329577072,0.148205,-0.176118,-0.0182077,0.919877,0.0307585,-0.00460254,-0.390971
329589087,0.146187,-0.148787,-0.0243752,0.919785,0.0312072,-0.00581923,-0.391136
329600949,0.143946,-0.126954,-0.024381,0.919688,0.0317044,-0.00689427,-0.391307
329608967,0.141923,-0.11492,-0.0222486,0.919626,0.0320457,-0.00754992,-0.391412
329621602,0.140862,-0.0979002,-0.0176813,0.919542,0.0325918,-0.00844766,-0.391548
329628962,0.140115,-0.0911999,-0.0128013,0.919493,0.0329693,-0.00900732,-0.391618
329641132,0.140648,-0.0849146,-0.00416578,0.919436,0.0335471,-0.00982017,-0.391683
329655167,0.140215,-0.0873338,0.00390869,0.919398,0.0341311,-0.0106324,-0.391701
329664981,0.141292,-0.09542,0.017642,0.919386,0.0347107,-0.011477,-0.391655
329677781,0.142985,-0.100638,0.0336083,0.919408,0.0352746,-0.0123582,-0.391526
329684980,0.139581,-0.0973399,0.0463722,0.919446,0.0356347,-0.0129456,-0.391385
329697002,0.137128,-0.082875,0.0678585,0.919545,0.036191,-0.0137708,-0.391073
329708969,0.132454,-0.0630691,0.0857497,0.919691,0.0367676,-0.0144858,-0.39065
329717094,0.12405,-0.052226,0.0972267,0.919812,0.0371485,-0.0148967,-0.390313
329728913,0.116486,-0.0413567,0.1064,0.920017,0.037707,-0.0154384,-0.389755
329741586,0.106898,-0.0398773,0.115126,0.920244,0.0382251,-0.0159396,-0.389147
329752994,0.095308,-0.0490167,0.120439,0.920486,0.0386629,-0.0164506,-0.388511
329766106,0.0827121,-0.0602304,0.126835,0.920744,0.0390134,-0.0169925,-0.387841
329777424,0.0655288,-0.0705114,0.136375,0.921021,0.0392388,-0.0175575,-0.387134
329789763,0.0453042,-0.071049,0.151295,0.921334,0.039356,-0.0181027,-0.38635
329796966,0.0340177,-0.0702037,0.161615,0.921565,0.0393765,-0.0184435,-0.385782
329809949,0.0158068,-0.0712685,0.173437,0.921939,0.0393236,-0.0189226,-0.384869
329821523,-0.00516464,-0.0735009,0.185894,0.922343,0.0391469,-0.0193698,-0.383894
329833997,-0.0257978,-0.0771152,0.196421,0.922777,0.0388594,-0.0197944,-0.382859
329845495,-0.0491066,-0.0805247,0.203227,0.92323,0.0384302,-0.020182,-0.381789
329853011,-0.0665362,-0.086372,0.205887,0.923541,0.0380603,-0.020431,-0.38106
329865463,-0.0936826,-0.0908453,0.210245,0.92402,0.0373683,-0.0207802,-0.379947
329877448,-0.119134,-0.0969158,0.214186,0.924511,0.0365183,-0.0211008,-0.378814
329885840,-0.132938,-0.095957,0.213972,0.924842,0.0358808,-0.0212901,-0.378057
329897450,-0.153399,-0.09319,0.21344,0.92534,0.0348259,-0.0215275,-0.376922
329909947,-0.168411,-0.079561,0.204066,0.925825,0.033706,-0.0216681,-0.375821
329921035,-0.185546,-0.0571014,0.18746,0.926282,0.0325366,-0.0216577,-0.374798
329932985,-0.198087,-0.0272318,0.166524,0.9267,0.0313554,-0.0214635,-0.373877
329941505,-0.205976,-0.0072032,0.147983,0.926947,0.0305694,-0.0212214,-0.373341
329952948,-0.219591,0.0194957,0.121387,0.927273,0.0293865,-0.0207016,-0.372657
329962784,-0.228434,0.0347794,0.10637,0.92748,0.0285088,-0.0202143,-0.372237
329974573,-0.23949,0.0527076,0.0850979,0.92774,0.0272096,-0.0193822,-0.37173
329983446,-0.243974,0.0575065,0.0735795,0.92788,0.026389,-0.0188201,-0.371469
329994579,-0.246523,0.06048,0.0604985,0.928061,0.0251469,-0.0179455,-0.371144
330006550,-0.243962,0.0566452,0.0479279,0.928213,0.0239068,-0.0170809,-0.370888
330015009,-0.235674,0.053669,0.0381517,0.928295,0.0230996,-0.0165256,-0.370759
330027400,-0.219719,0.0444141,0.026125,0.928391,0.0219489,-0.0157642,-0.370622
330038585,-0.195311,0.0374868,0.0180301,0.92846,0.0209075,-0.0150928,-0.370537
330050530,-0.174661,0.0448529,0.0184568,0.928519,0.0199832,-0.0144564,-0.370466
330062877,-0.14964,0.0658331,0.0278314,0.928589,0.0192379,-0.0137808,-0.370356
330074721,-0.124861,0.0936986,0.0412308,0.928686,0.0186906,-0.0130163,-0.370168
330086751,-0.0975548,0.111861,0.0546201,0.928811,0.01834,-0.0121902,-0.3699
330095040,-0.0947471,0.115626,0.0611329,0.928908,0.018156,-0.0116255,-0.369684
330106602,-0.0793233,0.114666,0.0677196,0.929062,0.0179538,-0.0108029,-0.369329
330118528,-0.0775067,0.104467,0.0695398,0.929225,0.0177697,-0.0100309,-0.368951
330126731,-0.0796278,0.0892503,0.0679467,0.929331,0.0176153,-0.00956943,-0.368704
330139264,-0.0879454,0.0548478,0.0679315,0.929485,0.017283,-0.0090118,-0.368344
330146540,-0.0867749,0.0351487,0.0652698,0.929585,0.0170192,-0.00873967,-0.36811
330158492,-0.0915572,0.0158066,0.0648469,0.929732,0.0165656,-0.00842356,-0.367767
330170748,-0.0966706,0.00419161,0.0653801,0.92988,0.0160532,-0.00817893,-0.367423
330178515,-0.0958219,0.00206314,0.0584623,0.929971,0.0156985,-0.00803133,-0.367211
330190588,-0.100719,0.00525531,0.0476015,0.930087,0.0151565,-0.0077951,-0.366944
330203578,-0.110102,0.00429665,0.0373645,0.930182,0.0145723,-0.00753426,-0.366731
330214595,-0.128176,-0.00623638,0.0171676,0.93024,0.0138944,-0.00727703,-0.366615
330227045,-0.150603,-0.0254551,-0.00280955,0.930252,0.0130639,-0.00706505,-0.366621
330234598,-0.160109,-0.0399682,-0.0155035,0.930237,0.0124245,-0.00696733,-0.366683
330246546,-0.184153,-0.0599808,-0.0353007,0.930179,0.0113205,-0.00687557,-0.366867
330258682,-0.201303,-0.0660488,-0.0483046,0.930085,0.0100916,-0.00680406,-0.367143
330266546,-0.207466,-0.0652973,-0.056599,0.930008,0.00923358,-0.0067424,-0.367362
330279359,-0.210402,-0.0536918,-0.069054,0.929867,0.00794688,-0.00660128,-0.367751
330290571,-0.211679,-0.0287942,-0.0817131,0.929697,0.00669707,-0.00633963,-0.36821
330303086,-0.209874,0.000338649,-0.0974501,0.929497,0.00551036,-0.00592366,-0.368742
330314548,-0.198701,0.0301381,-0.112986,0.92926,0.00443962,-0.00535183,-0.369361
330323129,-0.192003,0.0459983,-0.121611,0.929084,0.00379013,-0.00490929,-0.369816
330334651,-0.178089,0.0666365,-0.140633,0.928786,0.00291954,-0.00416657,-0.370581
330347257,-0.158982,0.0801794,-0.157178,0.928446,0.00217792,-0.00337634,-0.371445
330358668,-0.13048,0.0853872,-0.168872,0.928077,0.00160019,-0.00259659,-0.372375
330370564,-0.0941215,0.089237,-0.178996,0.927681,0.00121545,-0.00186826,-0.373368
330378725,-0.0690813,0.0909206,-0.181112,0.927409,0.00107895,-0.00141966,-0.374045
330391058,-0.0179952,0.0884563,-0.17876,0.926998,0.00109483,-0.000843359,-0.375063
