timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence,differential_pressure_filtered_pa
331369485,0.0,0.0,0.0,23.4439,1.0,-3.76045
331381284,0.0,0.0,0.0,23.4696,1.0,-3.85933
331393501,0.0,0.0,0.0,23.4696,1.0,-3.95401
331405252,0.0,0.0,0.0,23.4268,1.0,-4.04327
331415528,0.0,0.0,1.36246,23.4196,1.0,-4.11364
331426562,0.0,0.0,0.0,23.4211,1.0,-4.16082
331438208,0.0,0.0,1.65262,23.4696,1.0,-4.19103
331449690,0.0,0.0,0.0,23.4611,1.0,-4.20118
331463360,0.0,0.0,0.0,23.4382,1.0,-4.19241
331474563,0.0,0.0,0.0,23.4382,1.0,-4.16777
331485406,0.0,0.0,0.0,23.4253,1.0,-4.12829
331497283,0.0,0.0,0.0,23.4496,1.0,-4.08716
331509543,0.0,0.0,0.0,23.4296,1.0,-4.05885
331521235,0.0,0.0,0.0,23.4339,1.0,-4.04048
331533560,0.0,0.0,0.0,23.4554,1.0,-4.02308
331545956,0.0,0.0,0.0,23.4582,1.0,-4.00169
331557301,0.0,0.0,0.0,23.4782,1.0,-3.97927
331567676,0.0,0.0,0.0,23.4725,1.0,-3.9623
331582257,0.0,0.0,0.0,23.4611,1.0,-3.95345
331593791,0.0,0.0,0.0,23.4554,1.0,-3.95532
331605762,0.0,0.0,0.0,23.4725,1.0,-3.9603
331617788,0.0,0.0,1.53882,23.4668,1.0,-3.9516
331629936,0.0,0.0,0.0,23.4296,1.0,-3.92239
331642884,0.0,0.0,0.0,23.4582,1.0,-3.88284
331658411,0.0,0.0,0.0,23.4797,1.0,-3.84146
331671342,0.0,0.0,0.0,23.4668,1.0,-3.79429
331682922,0.0,0.0,0.0,23.4439,1.0,-3.74201
331695914,0.0,0.0,0.0,23.4296,1.0,-3.68836
331707536,0.0,0.0,0.0,23.4268,1.0,-3.63064
331718996,0.0,0.0,2.219,23.4439,1.0,-3.56133
331731192,0.0,0.0,0.0,23.4411,1.0,-3.47489
331743459,0.0,0.0,0.0,23.4382,1.0,-3.37694
331754876,0.0,0.0,0.96347,23.4554,1.0,-3.27257
331766459,0.0,0.0,0.0,23.4496,1.0,-3.16471
331776605,0.0,0.0,0.0,23.4382,1.0,-3.06338
331787176,0.0,0.0,0.0,23.4382,1.0,-2.97839
331799296,0.0,0.0,0.0,23.4439,1.0,-2.91193
331811123,0.0,0.0,0.0,23.4268,1.0,-2.86023
331823627,0.0,0.0,0.0,23.4353,1.0,-2.82404
331835536,0.0,0.0,0.0,23.4439,1.0,-2.81109
331848914,0.0,0.0,0.0,23.4311,1.0,-2.82206
331860606,0.0,0.0,0.0,23.4311,1.0,-2.84626
331871272,0.0,0.0,0.0,23.4711,1.0,-2.87526
331882642,0.0,0.0,0.0,23.4439,1.0,-2.90604
331892694,0.0,0.0,0.0,23.4268,1.0,-2.93427
331903529,0.0,0.0,0.0,23.4268,1.0,-2.95476
331916239,0.0,0.0,0.0,23.4468,1.0,-2.96366
331927532,0.0,0.0,0.0,23.4339,1.0,-2.95941
331939997,0.0,0.0,0.0,23.4296,1.0,-2.94434
331951535,0.0,0.0,0.0,23.4253,1.0,-2.92218
331963340,0.0,0.0,0.0,23.4439,1.0,-2.89745
331975398,0.0,0.0,0.0,23.4611,1.0,-2.88121
331986851,0.0,0.0,0.0,23.4654,1.0,-2.88123
332000211,0.0,0.0,0.0,23.4239,1.0,-2.896
332011539,0.0,0.0,0.0,23.4668,1.0,-2.92749
332024204,0.0,0.0,0.0,23.4496,1.0,-2.97965
332035670,0.0,0.0,0.0,23.4611,1.0,-3.0524
332047938,0.0,0.0,0.0,23.4453,1.0,-3.14425
332059574,0.0,0.0,0.0,23.4525,1.0,-3.24695
332072971,0.0,0.0,0.0,23.4268,1.0,-3.34735
332084589,0.0,0.0,0.0,23.4411,1.0,-3.441
332096811,0.0,0.0,0.0,23.4496,1.0,-3.52979
332108717,0.0,0.0,0.0,23.4668,1.0,-3.61176
332120635,0.0,0.0,0.0,23.4268,1.0,-3.69115
332133781,0.0,0.0,0.0,23.4268,1.0,-3.77825
332144509,0.0,0.0,0.0,23.4368,1.0,-3.86769
332157600,0.0,0.0,0.0,23.4325,1.0,-3.9501
332168468,0.0,0.0,0.0,23.4239,1.0,-4.02645
332178731,0.0,0.0,0.0,23.4325,1.0,-4.09821
332193005,0.0,0.0,0.0,23.4696,1.0,-4.16804
332205545,0.0,0.0,0.0,23.4582,1.0,-4.23862
332216771,0.0,0.0,0.0,23.4268,1.0,-4.30694
332229438,0.0,0.0,0.0,23.4211,1.0,-4.37083
332240840,0.0,0.0,0.0,23.4182,1.0,-4.43208
332253160,0.0,0.0,0.0,23.4382,1.0,-4.49261
