timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
389951119,11.849,11.8162,6.2992,6.26995,130.968,0.960944,1.0,3,1,0
390253226,11.9392,11.7979,6.4232,6.24103,131.487,0.960786,1.0,3,1,0
390552752,11.644,11.7826,6.2,6.21678,132.001,0.960627,1.00005,3,1,0
390854318,11.972,11.8013,6.5844,6.26967,132.533,0.960469,1.0,3,1,0
391154307,11.9392,11.8073,6.6216,6.30165,133.062,0.960309,1.00001,3,1,0
391455965,11.89,11.8043,6.448,6.29876,133.589,0.96015,1.00008,3,1,0
391757554,11.972,11.8198,6.4852,6.32853,134.123,0.95999,1.0,3,1,0
392057511,11.8408,11.8217,6.1132,6.32014,134.648,0.959831,1.00007,3,1,0
392359125,11.8982,11.8064,6.2496,6.29547,135.172,0.959671,1.00001,3,1,0
392659925,12.0048,11.7771,6.696,6.28214,135.695,0.959512,1.00057,3,1,0
392959885,11.808,11.7907,6.2248,6.31003,136.223,0.959353,1.0,3,1,0
393259915,11.6768,11.7934,6.3488,6.30647,136.747,0.959193,1.00002,3,1,0
393561583,11.767,11.8063,6.1256,6.29944,137.275,0.959034,1.0,3,1,0
393863152,11.2176,11.7794,5.9396,6.29304,137.803,0.958874,1.00249,3,1,0
394163119,11.1028,11.668,5.766,6.16843,138.301,0.943857,1.00968,3,1,0
394463923,10.7994,11.6143,5.6296,6.09622,138.801,0.927238,1.01258,3,1,0
394764038,11.9884,11.5941,6.2992,6.08312,139.306,0.924567,1.01305,3,1,0
395065478,11.808,11.6519,5.9148,6.12934,139.826,0.957509,1.00731,3,1,0
395365547,11.2832,11.648,5.6792,6.07401,140.325,0.958092,1.0069,3,1,0
395666323,11.2668,11.6087,5.6048,5.97753,140.811,0.944436,1.00958,3,1,0
395978506,11.767,11.5514,6.0512,5.907,141.314,0.919781,1.01389,3,1,0
396267963,11.7752,11.5666,5.8404,5.92352,141.792,0.928905,1.01229,3,1,0
396569573,10.6928,11.5708,5.6668,5.97685,142.299,0.932447,1.01167,3,1,0
396881538,11.7752,11.6009,6.014,5.99324,142.821,0.948003,1.00896,3,1,0
397182348,11.2832,11.5795,5.828,5.94234,143.311,0.938768,1.01056,3,1,0
397482363,11.2094,11.5569,5.7164,5.89229,143.796,0.928696,1.01232,3,1,0
397783907,12.013,11.6057,6.1752,5.96057,144.303,0.952521,1.00817,3,1,0
398083915,11.808,11.6601,5.9272,6.00781,144.81,0.956719,1.00363,3,1,0
398385682,11.8408,11.7051,5.8652,6.01741,145.315,0.956567,1.0,3,1,0
398687163,10.8076,11.707,5.0344,5.94209,145.806,0.956415,1.00201,3,1,0
398987104,11.5292,11.6616,5.642,5.81203,146.274,0.956266,1.00518,3,1,0
